loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,prediksi
4,245.932,246.928,55896685.36032918,1843342121.4622767,3.397910176757047e+18,-0.4747454533122949,-0.5383236175111019,3.397910176757047e+18,0.3320421420657001,1.3084572473451062,0,0,0,0,0,-55896685.3603292,1843342121.4622767,3.397910176757047e+18,0.4747454533122948,-0.5383236175111019,3.397910176757047e+18,0.3320421420657001,1.308457247345106,0,0,0,0,0,kanan
4,246.932,312.924,-368138016.1577546,2010307912.8442972,4.041337904444395e+18,-0.1490054392650386,-0.7782642543193687,4.041337904444395e+18,0.2843759678803169,2.332163474458836,0,0,0,0,0,368138016.15775466,2010307912.8442972,4.041337904444396e+18,0.1490054392650384,-0.7782642543193692,4.041337904444396e+18,0.2843759678803168,2.332163474458837,0,0,0,0,0,kanan
5,312.928,313.924,153200640.7497633,1459114808.9229348,2.1290160256182124e+18,-0.0764018420500247,-0.352069842959505,2.1290160256182124e+18,0.3509251459874707,1.2715605853116188,0,0,0,0,0,-153200640.7497633,1459114808.9229348,2.1290160256182124e+18,0.0764018420500246,-0.352069842959505,2.1290160256182124e+18,0.3509251459874707,1.2715605853116188,0,0,0,0,0,belakang
5,313.928,314.924,-146795939.00358573,1666574149.2517602,2.7774693949542287e+18,-0.7375764420677806,-0.0336549986699044,2.7774693949542287e+18,0.2744292800011285,1.4083670606034362,0,0,0,0,0,146795939.00358573,1666574149.2517602,2.7774693949542287e+18,0.7375764420677804,-0.0336549986699048,2.7774693949542287e+18,0.2744292800011285,1.4083670606034362,0,0,0,0,0,kanan
5,314.928,315.924,237335706.29071772,1439333303.3238208,2.071680358057062e+18,-1.036519674836591,1.4919196176638714,2.071680358057062e+18,0.3560921385089354,1.2409791044223937,0,0,0,0,0,-237335706.2907177,1439333303.3238208,2.071680358057062e+18,1.0365196748365917,1.4919196176638725,2.071680358057062e+18,0.3560921385089354,1.2409791044223932,0,0,0,0,0,kanan
5,315.928,316.924,-104341534.10886696,1745733554.9864042,3.0475856450054687e+18,-0.3556432830758947,0.1748525619169667,3.0475856450054687e+18,0.2975223239135697,1.3188314980856757,0,0,0,0,0,104341534.10886696,1745733554.986404,3.047585645005468e+18,0.3556432830758948,0.174852561916968,3.047585645005468e+18,0.2975223239135697,1.3188314980856757,0,0,0,0,0,kanan
5,316.928,317.924,-64777204.75379007,1716826555.8166516,2.9474934227572664e+18,-0.9808417802025232,0.4655503568705814,2.9474934227572664e+18,0.3073509876940825,1.3558095653653628,0,0,0,0,0,64777204.75379007,1716826555.8166516,2.9474934227572664e+18,0.9808417802025232,0.4655503568705814,2.9474934227572664e+18,0.3073509876940825,1.3558095653653628,0,0,0,0,0,kanan
5,317.928,318.924,-2919460.547865379,1962224568.297233,3.850325256429264e+18,-0.4367756348659433,-0.47073362675357,3.850325256429264e+18,0.3184675901843839,1.3507317252313402,0,0,0,0,0,2919460.547865391,1962224568.297233,3.850325256429264e+18,0.4367756348659433,-0.4707336267535704,3.850325256429264e+18,0.3184675901843839,1.3507317252313404,0,0,0,0,0,kanan
5,318.928,29.92,-27047027.284956004,529968021.42467374,2.8086610373278342e+17,0.141481163571767,3.430085190838974,2.8086610373278342e+17,0.4143857505196527,1.591535817175368,0,0,0,0,0,27047027.28495601,529968021.4246737,2.808661037327834e+17,-0.1414811635717666,3.430085190838972,2.808661037327834e+17,0.4143857505196527,1.5915358171753675,0,0,0,0,0,kanan
1,29.924,30.92,10354721.892424269,438357321.4092636,1.921571412331044e+17,0.6555591709371116,0.156627786094877,1.921571412331044e+17,0.3160038513836615,1.2934750327467193,0,0,0,0,0,-10354721.892424265,438357321.4092635,1.9215714123310435e+17,-0.6555591709371117,0.156627786094877,1.9215714123310435e+17,0.3160038513836615,1.2934750327467193,0,0,0,0,0,kanan
